"","score","text"
"115",0,"Algu√©m para o mundo q eu quero descer"
"116",0,"O loko foi t√£o loko q quebrei meu celular"
"117",1,"@Viitorrr Churrasco, n√£o tenho temer suficiente pra ir na chupa"
"118",0,"Migos eu vou meter o loko hoje. Desculpa qualquer coisa. J√° deixar avisado aqui."
"119",0,"@vihcastr0 Kkkkkkkkkkkkkkkk"
"120",0,"No seu #work vc se diverte assim ? 
#sSarauDoServidor em Unitins https://t.co/JWYSTGsyHn"
"121",2,"@aryannesalgado Foi a rea√ß√£o q eu tive quando o fato ocorreu"
"122",1,"@kahclark Hoje ?"
"123",0,"@Yagoma Seria meu sonho d princeso"
"124",0,"@kahclark Salva nois bb"
"125",0,"Gente, na boa. Chantagem emocional? Logo eu o Ice Berg q afundou o Titanic!"
"126",0,"@biapadua_ @visoaresreis Seria meu sonho d princeso"
"127",1,"Eu fiz uma farofa de Ì†æÌµì que eu literalmente t√¥ d parab√©ns. Pqp como t√° gostosa"
"128",0,"Hoje eu podia dormir at√© √†s 9, por√©m deu 5 e eu fiz o que coleguinhas. Isso mesmo acordado"
"129",0,"@LFreisgouveia Nem chama"
"130",1,"A m√£e d vcs manda spoiler da s√©rie q vcs t√£o assistindo ? https://t.co/OE9nHbVBUz"
"131",0,"@Yagoma Dia 15/11 vou num flutuante bora comigo ?"
"132",-3,"@Yagoma J√° disse q quando eu for no feijuca vc vai ser o primeiro a ser chamado!"
"133",1,"@Yagoma J√° te chamei pra fazer coisas sim. Eu lembro. Em peixe tbm te. Chamei bastante"
"134",-1,"@Yagoma Eu n√£o sou os outros Ì†ΩÌ∏™Ì†ΩÌ∏™Ì†ΩÌ∏™Ì†ΩÌ∏™"
"135",-1,"@Yagoma Assim tu n√£o t√° fortalecendo nossa amizade. Cad√™ os convites? Tu j√° foi melhor"
"136",5,"@Yagoma Ou podemos simplesmente juntar nossos sal√°rios pagar uma di√°ria e fazer um churrasco com muita cerveja todo domingo Ì†ΩÌ≤Å"
"137",-2,"@Yagoma Vamos fazer assim. Eu vou enchendo nossos copos enquanto vc faz a faxina. Minha miss√£o e n√£o deixar seu copo vazio"
"138",1,"@Yagoma Gosto do cheiro da cerveja gelada caindo no meu copo americano"
"139",1,"@Yagoma Gosto cheiro, n√£o da fun√ß√£o de passar ele."
"140",-2,"@visoaresreis Queria eu estar dormindo. Nem parece q tenho q t√° d p√© cedo pra ver o Orientador"
"141",0,"@Yagoma Kkkkkkkkk, pois eu sou esquecido/relaxado."
"142",0,"@Yagoma Minha m√£e e a localiza√ß√£o da limpeza. Galera d virgem e assim."
"143",0,"@Yagoma Tu √© de virgem ?"
"144",0,"@mmmmmmmmmcccccc Uma vez me perguntaram como sebreviviamos aqui. Pq aqui n√£o tinha internet e √°gua encanada."
"145",1,"@hilttondias Eu demoro 5 meses pra responder o whatsapp, eles em um cap√≠tulo se conhecem e casam! T√¥ no Tocantins errado."
"146",0,"@axdvinicius Ì†ΩÌ∏ã"
"147",-1,"Eu vendo meus amigos pegando as @ na noite palmense #OOutroLadoDoParaiso https://t.co/apFHthWoSR"
"148",1,"@Yagoma T√° convidado pra pr√≥xima vez que eu for"
"149",0,"Quando eu t√¥ no feijuca e n√£o sei se meu cart√£o vai passar #OOutroLadoDoParaiso https://t.co/9NjkkjVrYr"
"150",-1,"Quando a novela for mostrar a noite tocantinense, tem que mostrar os rol√™s no feijuca e no l√™ point"
"151",0,"#OOutroLadoDoParaiso  cad√™ os flutuantes ???"
"152",0,"Kkkkkkkkkkkkk https://t.co/SXVZYzn5Hj"
"153",2,"Melhor defini√ß√£o https://t.co/Wg63iJeM1m"
"154",0,"O filho do pobre t√° aqui tomando banho d balde https://t.co/3SDkR71Z1F"
"155",0,"@BRKAmbiental n√£o t√¥ dando dessa vida de racionamento de vcs!"
"156",0,"@ariellalunardi @rafagoo_ V√©i eu tive l√° na porta. Tava 10 conto e tinha acabado o open, fui pra casa"
"157",0,"@rafagoo_ @ariellalunardi Onde foi esse rol√™ ?"
"158",0,"@ariellalunardi @rafagoo_ Gente, me chama pr√≥s rol√™s d vcs!"
"159",0,"@ogabriel_labre Espero que seja. Pq eu e meu dog batemos altos papos"
"160",1,"Eu na vida https://t.co/FR3R7osw0Y"
"161",1,"@visoaresreis √Çnimo"
"162",0,"@riickbbf Bora no open sexta ?"
"163",1,"@ariellalunardi Eu s√≥ queria entender pq meu saldo banc√°rio e vermelho/negativo o resto √© lucro"
"164",1,"@visoaresreis Show quando ?"
"165",1,"@ogabriel_labre T√¥ pra muita cerveja pra dar conta"
"166",0,"Essa mulher adivinha meus pensamentos. Mulher√£o da phora https://t.co/KwBw8akhHa"
"167",0,"@ogabriel_labre O meu t√° mais pra s√©rie de 14 temporadas e cenas extras"
"168",2,"@LFreisgouveia @_caamilajuliana Gente olha a hora, aqui √© um lugar d fam√≠lia."
"169",0,"@kahclark @porralarika Aquela avenida tava interditada ontem, como faz pra participar desse almo√ßo ?"
